   Point	                                    	nearest_coord	                            new_distance	    new_point	                                timestamp	    uncertainty
501	POINT (14.60855378186563 59.12389961132353)	9.0	POINT (14.60855378186563 59.12389961132353)	2.7869084125686827	POINT (59.12392462906764 14.60855378186563)	1610726271.0	2.7869084125686827
503	POINT (14.60854707419124 59.12389304521611)	9.0	POINT (14.60854707419124 59.12389304521611)	2.7869084125686827	POINT (59.12391806296026 14.60854707419124)	1610726272.0	2.7869084125686827
505	POINT (14.60854707418968 59.12389304521598)	9.0	POINT (14.60854707418968 59.12389304521598)	2.7869084125686827	POINT (59.12391806296013 14.60854707418968)	1610726274.0	2.7869084125686827
509	POINT (14.60854630522134 59.12389979525332)	9.0	POINT (14.60854630522134 59.12389979525332)	2.2103003151716663	POINT (59.12391963685539 14.60854630522134)	1610726280.0	2.2103003151716663
510	POINT (14.60855505647306 59.12390561137679)	9.0	POINT (14.60855505647306 59.12390561137679)	2.7869084125686827	POINT (59.12393062912088 14.60855505647306)	1610726281.0	2.7869084125686827
511	POINT (14.60854592335074 59.12389829486314)	9.0	POINT (14.60854592335074 59.12389829486314)	2.7869084125686827	POINT (59.12392331260726 14.60854592335074)	1610726282.0	2.7869084125686827
514	POINT (14.60854592335091 59.12389829486322)	9.0	POINT (14.60854592335091 59.12389829486322)	2.7869084125686827	POINT (59.12392331260733 14.60854592335091)	1610726283.0	2.7869084125686827
521	POINT (14.60855860727248 59.12387969466689)	9.0	POINT (14.60855860727248 59.12387969466689)	3.499678315104351	POINT (59.12391111086141 14.60855860727248)	1610726290.0	3.499678315104351
522	POINT (14.60854542274236 59.12389827396455)	9.0	POINT (14.60854542274236 59.12389827396455)	2.2618627935096614	POINT (59.12391857843684 14.60854542274236)	1610726292.0	2.2618627935096614
523	POINT (14.60854542597727 59.12389826162399)	9.0	POINT (14.60854542597727 59.12389826162399)	3.1269626693514514	POINT (59.12392633199457 14.60854542597727)	1610726293.0	3.1269626693514514
526	POINT (14.60854542597727 59.123898261624)	9.0	POINT (14.60854542597727 59.123898261624)	3.1269626693514514	POINT (59.12392633199457 14.60854542597727)	1610726294.0	3.1269626693514514
534	POINT (14.608542610494 59.1238558319067)	9.0	POINT (14.608542610494 59.1238558319067)	4.025928684123308	POINT (59.12389197218809 14.608542610494)	1610726300.0	4.025928684123308
536	POINT (14.6085494292077 59.12389615466383)	9.0	POINT (14.6085494292077 59.12389615466383)	2.0	POINT (59.12391410842509 14.6085494292077)	1610726302.0	2.0
537	POINT (14.60854942920773 59.12389615466379)	9.0	POINT (14.60854942920773 59.12389615466379)	2.0	POINT (59.12391410842504 14.60854942920773)	1610726303.0	2.0
539	POINT (14.60854942920697 59.12389615466418)	9.0	POINT (14.60854942920697 59.12389615466418)	2.0	POINT (59.12391410842544 14.60854942920697)	1610726305.0	2.0
545	POINT (14.60856561139953 59.12387356710335)	9.0	POINT (14.60856561139953 59.12387356710335)	2.483834737194666	POINT (59.12389586419135 14.60856561139953)	1610726310.0	2.483834737194666
546	POINT (14.60856207949499 59.12387320360747)	9.0	POINT (14.60856207949499 59.12387320360747)	2.483834737194666	POINT (59.12389550069548 14.60856207949499)	1610726311.0	2.483834737194666
547	POINT (14.60854617946313 59.12389659149108)	9.0	POINT (14.60854617946313 59.12389659149108)	2.483834737194666	POINT (59.12391888857901 14.60854617946313)	1610726312.0	2.483834737194666
548	POINT (14.60854610497449 59.1238965764061)	9.0	POINT (14.60854610497449 59.1238965764061)	2.483834737194666	POINT (59.12391887349403 14.60854610497449)	1610726313.0	2.483834737194666
550	POINT (14.60854610497471 59.12389657640615)	9.0	POINT (14.60854610497471 59.12389657640615)	2.483834737194666	POINT (59.12391887349408 14.60854610497471)	1610726314.0	2.483834737194666
551	POINT (14.60854610497449 59.1238965764061)	9.0	POINT (14.60854610497449 59.1238965764061)	2.483834737194666	POINT (59.12391887349403 14.60854610497449)	1610726315.0	2.483834737194666
552	POINT (14.60854610497462 59.12389657640617)	9.0	POINT (14.60854610497462 59.12389657640617)	2.483834737194666	POINT (59.1239188734941 14.60854610497462)	1610726316.0	2.483834737194666
554	POINT (14.60854623564984 59.12389609822303)	9.0	POINT (14.60854623564984 59.12389609822303)	2.7869084125686827	POINT (59.12392111596716 14.60854623564984)	1610726321.0	2.7869084125686827
555	POINT (14.60854607334158 59.12389606817667)	9.0	POINT (14.60854607334158 59.12389606817667)	2.7869084125686827	POINT (59.12392108592081 14.60854607334158)	1610726323.0	2.7869084125686827
559	POINT (14.60854623842977 59.12389609878144)	9.0	POINT (14.60854623842977 59.12389609878144)	2.091835665118277	POINT (59.1239148769405 14.60854623842977)	1610726329.0	2.091835665118277
561	POINT (14.60852903764711 59.12386668309755)	9.0	POINT (14.60852903764711 59.12386668309755)	2.483834737194666	POINT (59.12388898018557 14.60852903764711)	1610726332.0	2.483834737194666
562	POINT (14.60854479420698 59.12389597055635)	9.0	POINT (14.60854479420698 59.12389597055635)	2.483834737194666	POINT (59.12391826764427 14.60854479420698)	1610726333.0	2.483834737194666
563	POINT (14.60854479420698 59.12389597055635)	9.0	POINT (14.60854479420698 59.12389597055635)	2.483834737194666	POINT (59.12391826764427 14.60854479420698)	1610726336.0	2.483834737194666
564	POINT (14.60854479691668 59.12389596034195)	9.0	POINT (14.60854479691668 59.12389596034195)	2.483834737194666	POINT (59.12391825742988 14.60854479691668)	1610726338.0	2.483834737194666
565	POINT (14.60854479691643 59.12389596034186)	9.0	POINT (14.60854479691643 59.12389596034186)	2.483834737194666	POINT (59.12391825742979 14.60854479691643)	1610726339.0	2.483834737194666
566	POINT (14.60857018320973 59.12387743218562)	9.0	POINT (14.60857018320973 59.12387743218562)	2.9355506707703163	POINT (59.12390378427363 14.60857018320973)	1610726340.0	2.9355506707703163
567	POINT (14.60854971858456 59.1238956811232)	9.0	POINT (14.60854971858456 59.1238956811232)	2.0	POINT (59.12391363488446 14.60854971858456)	1610726342.0	2.0
568	POINT (14.6085481748458 59.12389533332905)	9.0	POINT (14.6085481748458 59.12389533332905)	2.213720039693932	POINT (59.12391520562958 14.6085481748458)	1610726344.0	2.213720039693932
570	POINT (14.60854817294266 59.12389534771812)	9.0	POINT (14.60854817294266 59.12389534771812)	2.0	POINT (59.12391330147936 14.60854817294266)	1610726345.0	2.0
571	POINT (14.60856154074213 59.1238588710577)	9.0	POINT (14.60856154074213 59.1238588710577)	5.686775418297852	POINT (59.12390992056194 14.60856154074213)	1610726350.0	5.686775418297852
572	POINT (14.60854821474014 59.12389098771336)	9.0	POINT (14.60854821474014 59.12389098771336)	2.213720039693932	POINT (59.12391086001391 14.60854821474014)	1610726354.0	2.213720039693932
575	POINT (14.60854680311123 59.12389075390415)	9.0	POINT (14.60854680311123 59.12389075390415)	2.213720039693932	POINT (59.12391062620469 14.60854680311123)	1610726357.0	2.213720039693932
